"Subject.ID" "fBodyBodyGyroJerkMag_mean"
"1" 1 -0.645970655298847
"2" 2 -0.751615078360927
"3" 3 -0.810085498651026
"4" 4 -0.838833209652997
"5" 5 -0.748829309536424
"6" 6 -0.651886909221538
"7" 7 -0.668879188156396
"8" 8 -0.70215621546726
"9" 9 -0.786473954201389
"10" 10 -0.767780095068027
"11" 11 -0.864827011392405
"12" 12 -0.78990285099375
"13" 13 -0.712054366504281
"14" 14 -0.717590101802972
"15" 15 -0.83680189402439
"16" 16 -0.87277228273224
"17" 17 -0.829124468315217
"18" 18 -0.88466302260989
"19" 19 -0.719519008752778
"20" 20 -0.692638075749774
"21" 21 -0.826275026053922
"22" 22 -0.830191956697819
"23" 23 -0.584111049810215
"24" 24 -0.795019165380577
"25" 25 -0.875970674743276
"26" 26 -0.823865297193878
"27" 27 -0.837585999827128
"28" 28 -0.806882151753927
"29" 29 -0.840464164156977
"30" 30 -0.811292332428198
